beacon_id;MAJOR;MINOR;Name;geopos;register_source;UID;Geoposition;floor
495;31934;62141;Kontakt-SBB 31934.62141;(47.3783031647727|8.53609376704545|0);CALIBMAP[IOS];31934.62141;47.3783031647727, 8.53609376704545;0
506;31388;7619;Kontakt-SBB 31388.7619;(47.3778227840909|8.53792444318182|0);CALIBMAP[IOS];31388.7619;47.3778227840909, 8.53792444318182;0
507;31266;41243;Kontakt-SBB 31266.41243;(47.378126631068|8.53800909708738|0);CALIBMAP[IOS];31266.41243;47.378126631068, 8.53800909708738;0
512;30957;9503;Kontakt-SBB 30957.9503;(47.3781719223301|8.53783875728155|0);CALIBMAP[IOS];30957.9503;47.3781719223301, 8.53783875728155;0
513;30946;46148;Kontakt-SBB 30946.46148;(47.377867|8.53835245991561|0);CALIBMAP[IOS];30946.46148;47.377867, 8.53835245991561;0
516;30714;47676;Kontakt-SBB 30714.47676;(47.3781221019417|8.53802613106796|0);CALIBMAP[IOS];30714.47676;47.3781221019417, 8.53802613106796;0
517;30679;36584;Kontakt-SBB 30679.36584;(47.3782036262136|8.53771951941748|0);CALIBMAP[IOS];30679.36584;47.3782036262136, 8.53771951941748;0
521;30289;38714;Kontakt-SBB 30289.38714;(47.377799|8.5386037299578|0);CALIBMAP[IOS];30289.38714;47.377799, 8.5386037299578;0
523;30135;34329;Kontakt-SBB 30135.34329;(47.3782217443182|8.53640405113636|0);CALIBMAP[IOS];30135.34329;47.3782217443182, 8.53640405113636;0
524;29949;23878;Kontakt-SBB 29949.23878;(47.37765615625|8.53927025|0);CALIBMAP[IOS];29949.23878;47.37765615625, 8.53927025;0
532;29001;17139;Kontakt-SBB 29001.17139;(47.377767|8.53872197468355|0);CALIBMAP[IOS];29001.17139;47.377767, 8.53872197468355;0
547;27422;13770;Kontakt-SBB 27422.13770;(47.3778227840909|8.53792444318182|0);CALIBMAP[IOS];27422.1377;47.3778227840909, 8.53792444318182;0
549;27405;40384;Kontakt-SBB 27405.40384;(47.3781154822335|8.53866434517766|0);CALIBMAP[IOS];27405.40384;47.3781154822335, 8.53866434517766;0
558;26532;63;Kontakt-SBB 26532.63;(47.3785455736041|8.53707228426396|0);CALIBMAP[IOS];26532.63;47.3785455736041, 8.53707228426396;0
563;25827;14576;Kontakt-SBB 25827.14576;(47.3787293317972|8.53943187096774|0);CALIBMAP[IOS];25827.14576;47.3787293317972, 8.53943187096774;0
564;25758;33733;Kontakt-SBB 25758.33733;(47.3789762442396|8.53851251612903|0);CALIBMAP[IOS];25758.33733;47.3789762442396, 8.53851251612903;0
568;25608;40596;Kontakt-SBB 25608.40596;(47.3788982718894|8.53880283870968|0);CALIBMAP[IOS];25608.40596;47.3788982718894, 8.53880283870968;0
573;25494;46234;Kontakt-SBB 25494.46234;(47.379075875576|8.5381415483871|0);CALIBMAP[IOS];25494.46234;47.379075875576, 8.5381415483871;0
