beacon_id;MAJOR;MINOR;Name;geopos;register_source;UID;Geoposition;floor
4;65391;28175;Kontakt-SBB 65391.28175;(47.3787297662338|8.53610266233766|-3);CALIBMAP[IOS];65391.28175;47.3787297662,8.53610266234;-3
17;64434;21631;Kontakt-SBB 64434.21631;(47.3780627532468|8.53860053246753|-3);CALIBMAP[IOS];64434.21631;47.3780627532,8.53860053247;-3
30;63471;8731;Kontakt-SBB 63471.8731;(47.3788513571429|8.53564732142857|-3);CALIBMAP[IOS];63471.8731;47.3788513571,8.53564732143;-3
34;63286;10259;Kontakt-SBB 63286.10259;(47.3781878181818|8.53813218181818|-3);CALIBMAP[IOS];63286.10259;47.3781878182,8.53813218182;-3
40;62719;27841;Kontakt-SBB 62719.27841;(47.3784688933333|8.53734319333333|-3);CALIBMAP[IOS];62719.27841;47.3784688933,8.53734319333;-3
59;61114;38204;Kontakt-SBB 61114.38204;(47.378180552795|8.53749109937888|-3);CALIBMAP[IOS];61114.38204;47.3781805528,8.53749109938;-3
78;59713;3332;Kontakt-SBB 59713.3332;(47.37804208|8.53892748|-3);CALIBMAP[IOS];59713.3332;47.37804208,8.53892748;-3
80;59595;40444;Kontakt-SBB 59595.40444;(47.3786976166134|8.53583153354633|-3);CALIBMAP[IOS];59595.40444;47.3786976166,8.53583153355;-3
82;59372;24242;Kontakt-SBB 59372.24242;(47.378721552795|8.53548359937888|-3);CALIBMAP[IOS];59372.24242;47.3787215528,8.53548359938;-3
97;58315;58846;Kontakt-SBB 58315.58846;(47.3785560649351|8.53675314935065|-3);CALIBMAP[IOS];58315.58846;47.3785560649,8.53675314935;-3
103;57683;22223;Kontakt-SBB 57683.22223;(47.3787701733333|8.53622487333333|-3);CALIBMAP[IOS];57683.22223;47.3787701733,8.53622487333;-3
119;55821;4167;Kontakt-SBB 55821.4167;(47.377206|8.540099|-3);CALIBMAP[IOS];55821.4167;47.377206,8.540099;-3
139;53677;19721;Kontakt-SBB 53677.19721;(47.3791726037736|8.53821015094339|-3);CALIBMAP[IOS];53677.19721;47.3791726038,8.53821015094;-3
141;53554;58380;Kontakt-SBB 53554.58380;(47.3787664150943|8.53971860377358|-3);CALIBMAP[IOS];53554.5838;47.3787664151,8.53971860377;-3
142;53208;45670;Kontakt-SBB 53208.45670;(47.3788105660377|8.53955464150943|-3);CALIBMAP[IOS];53208.4567;47.378810566,8.53955464151;-3
771;90;79;Kontakt-SBB 90.79;(47.3790920375587|8.53824097652582|-3);CALIBMAP[IOS];90.79;47.3790920376,8.53824097653;-3
774;86;75;Kontakt-SBB 86.75;(47.3791946792453|8.53812816981132|-3);CALIBMAP[IOS];86.75;47.3791946792,8.53812816981;-3
775;85;74;Kontakt-SBB 85.74;(47.378969509434|8.53896437735849|-3);CALIBMAP[IOS];85.74;47.3789695094,8.53896437736;-3
780;80;69;Kontakt-SBB 80.69;(47.3790614413146|8.5383554741784|-3);CALIBMAP[IOS];80.69;47.3790614413,8.53835547418;-3
787;73;61;Kontakt-SBB 73.61;(47.3788647511737|8.53909153051643|-3);CALIBMAP[IOS];73.61;47.3788647512,8.53909153052;-3
800;60;48;Kontakt-SBB 60.48;(47.3785853962264|8.5403908490566|-3);CALIBMAP[IOS];60.48;47.3785853962,8.54039084906;-3
802;58;46;Kontakt-SBB 58.46;(47.3788691220657|8.53907517370892|-3);CALIBMAP[IOS];58.46;47.3788691221,8.53907517371;-3
804;56;44;Kontakt-SBB 56.44;(47.3790264741784|8.5384863286385|-3);CALIBMAP[IOS];56.44;47.3790264742,8.53848632864;-3
827;21;21;Kontakt-SBB 21.21;(47.3780940194805|8.53848344480519|-3);CALIBMAP[IOS];21.21;47.3780940195,8.53848344481;-3
828;20;20;Kontakt-SBB 20.20;(47.3786159466667|8.53679734666667|-3);CALIBMAP[IOS];20.2;47.3786159467,8.53679734667;-3
830;18;18;Kontakt-SBB 18.18;(47.37846172|8.53736982|-3);CALIBMAP[IOS];18.18;47.37846172,8.53736982;-3
836;10;10;Kontakt-SBB 10.10;(47.3780384350649|8.53869160064935|-3);CALIBMAP[IOS];10.1;47.3780384351,8.53869160065;-3
838;6;6;Kontakt-SBB 6.6;(47.3779932727273|8.53886072727273|-3);CALIBMAP[IOS];6.6;47.3779932727,8.53886072727;-3
839;4;4;Kontakt-SBB 4.4;(47.3779386149068|8.53838886335404|-3);CALIBMAP[IOS];4.4;47.3779386149,8.53838886335;-3
840;1;1;Kontakt-SBB 1.1;(47.3781391818182|8.53831431818182|-3);CALIBMAP[IOS];1.1;47.3781391818,8.53831431818;-3
