MAJOR;MINOR;Name;geopos;register_source;UID;Geoposition;floor
53677;19721;Kontakt-SBB 53677.19721;(47.3791726037736|8.53821015094339|-3);CALIBMAP[IOS];53677.19721;47.3791726038,8.53821015094;-3
53554;58380;Kontakt-SBB 53554.58380;(47.3787664150943|8.53971860377358|-3);CALIBMAP[IOS];53554.5838;47.3787664151,8.53971860377;-3
53208;45670;Kontakt-SBB 53208.45670;(47.3788105660377|8.53955464150943|-3);CALIBMAP[IOS];53208.4567;47.378810566,8.53955464151;-3
64434;21631;Kontakt-SBB 64434.21631;(47.3780627532468|8.53860053246753|-3);CALIBMAP[IOS];64434.21631;47.3780627532,8.53860053247;-3
59713;3332;Kontakt-SBB 59713.3332;(47.37804208|8.53892748|-3);CALIBMAP[IOS];59713.3332;47.37804208,8.53892748;-3
21;21;Kontakt-SBB 21.21;(47.3780940194805|8.53848344480519|-3);CALIBMAP[IOS];21.21;47.3780940195,8.53848344481;-3
10;10;Kontakt-SBB 10.10;(47.3780384350649|8.53869160064935|-3);CALIBMAP[IOS];10.1;47.3780384351,8.53869160065;-3
6;6;Kontakt-SBB 6.6;(47.3779932727273|8.53886072727273|-3);CALIBMAP[IOS];6.6;47.3779932727,8.53886072727;-3
4;4;Kontakt-SBB 4.4;(47.3779386149068|8.53838886335404|-3);CALIBMAP[IOS];4.4;47.3779386149,8.53838886335;-3
1;1;Kontakt-SBB 1.1;(47.3781391818182|8.53831431818182|-3);CALIBMAP[IOS];1.1;47.3781391818,8.53831431818;-3
