calculation_method;calc_trigger_time;route_start_time;route_end_time;device_fingerprint;geopos;Geoposition;position_timestamp;position_floor_estimation;position_signals_floors;position_signal_1_beacon;position_signal_1_timestamp;position_signal_2_beacon;position_signal_2_beacon;position_signal_3_beacon;position_signal_3_timestamp
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.377767528908066|8.539406869082471|-2);47.377767528908066,8.539406869082471;Wed Apr 13 18:49:32 CEST 2022;-2;-2,-2,-2,;217;2022-04-13 18:49:32.916;240;2022-04-13 18:49:32.916;224;2022-04-13 18:49:32.916
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37837498735264|8.53923813663234|-2);47.37837498735264,8.53923813663234;Wed Apr 13 18:49:34 CEST 2022;-2;-2,-2,-2,;214;2022-04-13 18:49:34.017;233;2022-04-13 18:49:34.017;220;2022-04-13 18:49:34.017
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.378105075745985|8.539607374726616|-2);47.378105075745985,8.539607374726616;Wed Apr 13 18:49:34 CEST 2022;-2;-2,-2,-2,;201;2022-04-13 18:49:34.017;214;2022-04-13 18:49:34.017;233;2022-04-13 18:49:34.017
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.378314979203836|8.53932025605007|-2);47.378314979203836,8.53932025605007;Wed Apr 13 18:49:35 CEST 2022;-2;-2,-2,-2,;213;2022-04-13 18:49:35.772;214;2022-04-13 18:49:35.772;233;2022-04-13 18:49:35.772
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37693259926128|8.539367159728949|-2);47.37693259926128,8.539367159728949;Wed Apr 13 18:49:36 CEST 2022;-2;-2,-2,-2,;237;2022-04-13 18:49:36.223;293;2022-04-13 18:49:36.223;227;2022-04-13 18:49:36.223
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37807091055871|8.53932334162847|-2);47.37807091055871,8.53932334162847;Wed Apr 13 18:49:36 CEST 2022;-2;-2,-2,-2,;213;2022-04-13 18:49:36.671;233;2022-04-13 18:49:36.671;220;2022-04-13 18:49:36.671
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37704359388124|8.539509587402442|-2);47.37704359388124,8.539509587402442;Wed Apr 13 18:50:07 CEST 2022;-2;-2,-2,-2,;182;2022-04-13 18:50:07.548;201;2022-04-13 18:50:07.548;213;2022-04-13 18:50:07.548
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37782233829543|8.54040627961062|-2);47.37782233829543,8.54040627961062;Wed Apr 13 18:50:41 CEST 2022;-2;-2,-2,-2,;252;2022-04-13 18:50:41.244;257;2022-04-13 18:50:41.244;251;2022-04-13 18:50:41.244
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37779823489147|8.540447569087611|-2);47.37779823489147,8.540447569087611;Wed Apr 13 18:50:47 CEST 2022;-2;-2,-2,-2,;252;2022-04-13 18:50:47.456;257;2022-04-13 18:50:47.456;246;2022-04-13 18:50:47.456
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.377908402568096|8.540205320499453|-2);47.377908402568096,8.540205320499453;Wed Apr 13 18:50:47 CEST 2022;-2;-2,-2,-2,;250;2022-04-13 18:50:47.456;252;2022-04-13 18:50:47.456;257;2022-04-13 18:50:47.456
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37779739554148|8.540448590323399|-2);47.37779739554148,8.540448590323399;Wed Apr 13 18:50:51 CEST 2022;-2;-2,-2,-2,;257;2022-04-13 18:50:51.169;252;2022-04-13 18:50:51.169;246;2022-04-13 18:50:51.169
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37839166398559|8.540104317586339|-2);47.37839166398559,8.540104317586339;Wed Apr 13 18:51:11 CEST 2022;-2;-2,-2,-2,;254;2022-04-13 18:51:11.423;337;2022-04-13 18:51:11.423;289;2022-04-13 18:51:11.423
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37837788423979|8.540800042787756|-2);47.37837788423979,8.540800042787756;Wed Apr 13 18:51:27 CEST 2022;-2;-2,-2,-2,;337;2022-04-13 18:51:27.724;345;2022-04-13 18:51:27.724;340;2022-04-13 18:51:27.724
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.378670798333246|8.539816629130673|-2);47.378670798333246,8.539816629130673;Wed Apr 13 18:52:20 CEST 2022;-2;-2,-2,-2,;376;2022-04-13 18:52:20.127;133;2022-04-13 18:52:20.127;375;2022-04-13 18:52:20.127
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.3787628130743|8.538813276168147|-2);47.3787628130743,8.538813276168147;Wed Apr 13 18:53:52 CEST 2022;-2;-2,-2,-2,;357;2022-04-13 18:53:52.593;349;2022-04-13 18:53:52.593;305;2022-04-13 18:53:52.593
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37845817427051|8.538692261107922|-2);47.37845817427051,8.538692261107922;Wed Apr 13 18:53:53 CEST 2022;-2;-2,-2,-2,;377;2022-04-13 18:53:53.026;384;2022-04-13 18:53:53.026;372;2022-04-13 18:53:53.026
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.378320583207994|8.53890447913795|-2);47.378320583207994,8.53890447913795;Wed Apr 13 18:53:53 CEST 2022;-2;-2,-2,-2,;362;2022-04-13 18:53:53.026;377;2022-04-13 18:53:53.026;384;2022-04-13 18:53:53.026
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37884749015361|8.538082271706115|-2);47.37884749015361,8.538082271706115;Wed Apr 13 18:54:07 CEST 2022;-2;-2,-2,-2,;392;2022-04-13 18:54:07.035;356;2022-04-13 18:54:07.035;350;2022-04-13 18:54:07.035
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(-263.86693893603257|560.3603879790547|-2);-263.86693893603257,560.3603879790547;Wed Apr 13 18:54:07 CEST 2022;-2;-2,-2,-2,;374;2022-04-13 18:54:07.035;392;2022-04-13 18:54:07.035;356;2022-04-13 18:54:07.035
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.378590133367|8.538795349018413|-2);47.378590133367,8.538795349018413;Wed Apr 13 18:54:07 CEST 2022;-2;-2,-2,-2,;348;2022-04-13 18:54:07.786;352;2022-04-13 18:54:07.786;382;2022-04-13 18:54:07.786
TRILATERATION_NO_SMOOTHING_LIBRARY_DISTANCE;Fri Apr 15 14:25:44 CEST 2022;Wed Apr 13 18:49:32 CEST 2022;Wed Apr 13 19:08:34 CEST 2022;OnePlus/Nord_EEA/Nord:11/RP1A.201005.001/2203101723:user/release-keys;(47.37828269782519|8.53870796605541|-2);47.37828269782519,8.53870796605541;Wed Apr 13 18:54:20 CEST 2022;-2;-2,-2,-2,;351;2022-04-13 18:54:20.532;319;2022-04-13 18:54:20.532;304;2022-04-13 18:54:20.532
