MAJOR;MINOR;Name;PROXIMITYUUID;MAC;geopos;register_source;UID;Standort;Geoposition;floor
65497;58691;Kontakt-SBB 65497.58691;;;(47.37851552|8.53717012|-3);CALIBMAP[IOS];65497.58691;ZH;47.37851552,8.53717012;-3
65488;25224;Kontakt-SBB 65488.25224;;;(47.3786533376623|8.53638887662338|-3);CALIBMAP[IOS];65488.25224;ZH;47.3786533377,8.53638887662;-3
65408;10417;Kontakt-SBB 65408.10417;;;(47.3787540844156|8.53601159415584|-3);CALIBMAP[IOS];65408.10417;ZH;47.3787540844,8.53601159416;-3
65391;28175;Kontakt-SBB 65391.28175;;;(47.3787297662338|8.53610266233766|-3);CALIBMAP[IOS];65391.28175;ZH;47.3787297662,8.53610266234;-3
65306;33134;Kontakt-SBB 65306.33134;;;(47.3787888246753|8.53588149675325|-3);CALIBMAP[IOS];65306.33134;ZH;47.3787888247,8.53588149675;-3
65296;50355;Kontakt-SBB 65296.50355;;;(47.3784379480519|8.53719548051948|-3);CALIBMAP[IOS];65296.50355;ZH;47.3784379481,8.53719548052;-3
65285;15617;Kontakt-SBB 65285.15617;;;(47.3785011733333|8.53722337333333|-3);CALIBMAP[IOS];65285.15617;ZH;47.3785011733,8.53722337333;-3
65280;55825;Kontakt-SBB 65280.55825;;;(47.3784381118211|8.53679455271566|-3);CALIBMAP[IOS];65280.55825;ZH;47.3784381118,8.53679455272;-3
65215;34248;Kontakt-SBB 65215.34248;;;(47.3785386948052|8.53681819805195|-3);CALIBMAP[IOS];65215.34248;ZH;47.3785386948,8.53681819805;-3
65198;62834;Kontakt-SBB 65198.62834;;;(47.3785280734824|8.53646070607029|-3);CALIBMAP[IOS];65198.62834;ZH;47.3785280735,8.53646070607;-3
65188;7955;Kontakt-SBB 65188.7955;;;(47.3790748974359|8.5350508974359|-3);CALIBMAP[IOS];65188.7955;ZH;47.3790748974,8.53505089744;-3
64947;36556;Kontakt-SBB 64947.36556;;;(47.3782788|8.5380488|-3);CALIBMAP[IOS];64947.36556;ZH;47.3782788,8.5380488;-3
64904;34363;Kontakt-SBB 64904.34363;;;(47.3779481103896|8.5390298538961|-3);CALIBMAP[IOS];64904.34363;ZH;47.3779481104,8.5390298539;-3
64851;16571;Kontakt-SBB 64851.16571;;;(47.3785247987013|8.53687023701299|-3);CALIBMAP[IOS];64851.16571;ZH;47.3785247987,8.53687023701;-3
64558;21833;Kontakt-SBB 64558.21833;;;(47.3783580454545|8.53749470454545|-3);CALIBMAP[IOS];64558.21833;ZH;47.3783580455,8.53749470455;-3
64547;11113;Kontakt-SBB 64547.11113;;;(47.3785386948052|8.53681819805195|-3);CALIBMAP[IOS];64547.11113;ZH;47.3785386948,8.53681819805;-3
64434;21631;Kontakt-SBB 64434.21631;;;(47.3780627532468|8.53860053246753|-3);CALIBMAP[IOS];64434.21631;ZH;47.3780627532,8.53860053247;-3
64307;5846;Kontakt-SBB 64307.5846;;;(47.3782503506494|8.53789800649351|-3);CALIBMAP[IOS];64307.5846;ZH;47.3782503506,8.53789800649;-3
64241;44949;Kontakt-SBB 64241.44949;;;(47.3780360621118|8.53802726397515|-3);CALIBMAP[IOS];64241.44949;ZH;47.3780360621,8.53802726398;-3
64090;47730;Kontakt-SBB 64090.47730;;;(47.3783649935065|8.53746868506494|-3);CALIBMAP[IOS];64090.4773;ZH;47.3783649935,8.53746868506;-3
64019;42720;Kontakt-SBB 64019.42720;;;(47.3790083846154|8.53624246153846|-2);CALIBMAP[IOS];64019.4272;ZH;47.3790083846,8.53624246154;-2
63993;60194;Kontakt-SBB 63993.60194;;;(47.3781426558442|8.53830130844156|-3);CALIBMAP[IOS];63993.60194;ZH;47.3781426558,8.53830130844;-3
63973;36443;Kontakt-SBB 63973.36443;;;(47.3781163258786|8.53798869648562|-3);CALIBMAP[IOS];63973.36443;ZH;47.3781163259,8.53798869649;-3
63970;46883;Kontakt-SBB 63970.46883;;;(47.3780731753247|8.53856150324675|-3);CALIBMAP[IOS];63970.46883;ZH;47.3780731753,8.53856150325;-3
63874;44848;Kontakt-SBB 63874.44848;;;(47.3784016|8.5358982|-2);CALIBMAP[IOS];63874.44848;ZH;47.3784016,8.5358982;-2
63842;15761;Kontakt-SBB 63842.15761;;;(47.3788473636364|8.53568290909091|-2);CALIBMAP[IOS];63842.15761;ZH;47.3788473636,8.53568290909;-2
63836;39302;Kontakt-SBB 63836.39302;;;(47.3782746397516|8.5371419689441|-3);CALIBMAP[IOS];63836.39302;ZH;47.3782746398,8.53714196894;-3
63723;4637;Kontakt-SBB 63723.4637;;;(47.3781738322981|8.53751603726708|-3);CALIBMAP[IOS];63723.4637;ZH;47.3781738323,8.53751603727;-3
63699;23582;Kontakt-SBB 63699.23582;;;(47.378287|8.5368004978903|0);CALIBMAP[IOS];63699.23582;ZH;47.378287,8.53680049789;0
63471;8731;Kontakt-SBB 63471.8731;;;(47.3788513571429|8.53564732142857|-3);CALIBMAP[IOS];63471.8731;ZH;47.3788513571,8.53564732143;-3
63421;51994;Kontakt-SBB 63421.51994;;;(47.3781739220779|8.53818422077922|-3);CALIBMAP[IOS];63421.51994;ZH;47.3781739221,8.53818422078;-3
63398;54575;Kontakt-SBB 63398.54575;;;(47.3779225623003|8.53870775079872|-3);CALIBMAP[IOS];63398.54575;ZH;47.3779225623,8.5387077508;-3
63344;30436;Kontakt-SBB 63344.30436;;;(47.3788239733333|8.53602517333333|-3);CALIBMAP[IOS];63344.30436;ZH;47.3788239733,8.53602517333;-3
63286;10259;Kontakt-SBB 63286.10259;;;(47.3781878181818|8.53813218181818|-3);CALIBMAP[IOS];63286.10259;ZH;47.3781878182,8.53813218182;-3
63228;19939;Kontakt-SBB 63228.19939;;;(47.3786518133333|8.53666421333333|-3);CALIBMAP[IOS];63228.19939;ZH;47.3786518133,8.53666421333;-3
63102;860;Kontakt-SBB 63102.860;;;(47.3784904133333|8.53726331333333|-3);CALIBMAP[IOS];63102.86;ZH;47.3784904133,8.53726331333;-3
62944;23077;Kontakt-SBB 62944.23077;;;(47.3790503846154|8.53516638461539|-3);CALIBMAP[IOS];62944.23077;ZH;47.3790503846,8.53516638462;-3
62859;31780;Kontakt-SBB 62859.31780;;;(47.3786846038961|8.53627178896104|-3);CALIBMAP[IOS];62859.3178;ZH;47.3786846039,8.53627178896;-3
62833;10784;Kontakt-SBB 62833.10784;;;(47.3787367142857|8.53607664285714|-3);CALIBMAP[IOS];62833.10784;ZH;47.3787367143,8.53607664286;-3
62719;27841;Kontakt-SBB 62719.27841;;;(47.3784688933333|8.53734319333333|-3);CALIBMAP[IOS];62719.27841;ZH;47.3784688933,8.53734319333;-3
62518;53639;Kontakt-SBB 62518.53639;;;(47.3786220501792|8.53923991039427|0);CALIBMAP[IOS];62518.53639;ZH;47.3786220502,8.53923991039;0
62462;64616;Kontakt-SBB 62462.64616;;;(47.3784171038961|8.53727353896104|-3);CALIBMAP[IOS];62462.64616;ZH;47.3784171039,8.53727353896;-3
62436;37027;Kontakt-SBB 62436.37027;;;(47.3782538246753|8.53788499675325|-3);CALIBMAP[IOS];62436.37027;ZH;47.3782538247,8.53788499675;-3
62337;54902;Kontakt-SBB 62337.54902;;;(47.3781426558442|8.53830130844156|-3);CALIBMAP[IOS];62337.54902;ZH;47.3781426558,8.53830130844;-3
62059;976;Kontakt-SBB 62059.976;;;(47.3784657923323|8.53669183067093|-3);CALIBMAP[IOS];62059.976;ZH;47.3784657923,8.53669183067;-3
61959;59140;Kontakt-SBB 61959.59140;;;(47.3788409350649|8.53568635064935|-3);CALIBMAP[IOS];61959.5914;ZH;47.3788409351,8.53568635065;-3
61931;54134;Kontakt-SBB 61931.54134;;;(47.3786741818182|8.53631081818182|-3);CALIBMAP[IOS];61931.54134;ZH;47.3786741818,8.53631081818;-3
61864;36268;Kontakt-SBB 61864.36268;;;(47.3788526666667|8.53591866666667|-3);CALIBMAP[IOS];61864.36268;ZH;47.3788526667,8.53591866667;-3
61810;12686;Kontakt-SBB 61810.12686;;;(47.3790565128205|8.53513751282051|-3);CALIBMAP[IOS];61810.12686;ZH;47.3790565128,8.53513751282;-3
61775;43934;Kontakt-SBB 61775.43934;;;(47.3780141168831|8.53878266883117|-3);CALIBMAP[IOS];61775.43934;ZH;47.3780141169,8.53878266883;-3
61773;38493;Kontakt-SBB 61773.38493;;;(47.37882756|8.53601186|-3);CALIBMAP[IOS];61773.38493;ZH;47.37882756,8.53601186;-3
61660;39131;Kontakt-SBB 61660.39131;;;(47.3785004805195|8.5369613051948|-3);CALIBMAP[IOS];61660.39131;ZH;47.3785004805,8.53696130519;-3
61546;27723;Kontakt-SBB 61546.27723;;;(47.3786602857143|8.53636285714286|-3);CALIBMAP[IOS];61546.27723;ZH;47.3786602857,8.53636285714;-3
61519;28917;Kontakt-SBB 61519.28917;;;(47.3781906335404|8.53745369254658|-3);CALIBMAP[IOS];61519.28917;ZH;47.3781906335,8.53745369255;-3
61425;57384;Kontakt-SBB 61425.57384;;;(47.3782538246753|8.53788499675325|-3);CALIBMAP[IOS];61425.57384;ZH;47.3782538247,8.53788499675;-3
61335;61464;Kontakt-SBB 61335.61464;;;(47.3782051883117|8.53806713311688|-3);CALIBMAP[IOS];61335.61464;ZH;47.3782051883,8.53806713312;-3
