"id","signal_timestamp","uuid","major","minor","service_uuid","bluetooth_address","bluetooth_name","beacon_type_code","parser_identifier","tx_power","rssi","running_average_rssi","distance","calculated_distance","beacon_id","device_id"
2590,"2022-04-08 20:00:20.922+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"2B:C8:CF:26:05:76",NULL,1275068949,NULL,-45,-100,-100.0,108.5814728349824,NULL,NULL,1
2591,"2022-04-08 20:00:22.453+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-99,-99.5,104.8840152708854,NULL,NULL,1
2592,"2022-04-08 20:00:28.031+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-97,-99.0,101.2954292828729,NULL,NULL,1
2593,"2022-04-08 20:00:28.544+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"2B:C8:CF:26:05:76",NULL,1275068949,NULL,-45,-95,-98.0,94.43420478026877,NULL,NULL,1
2594,"2022-04-08 20:00:31.592+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-99,-98.33333333333333,96.67537921846046,NULL,NULL,1
2595,"2022-04-08 20:00:34.128+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"2B:C8:CF:26:05:76",NULL,1275068949,NULL,-45,-91,-97.4,90.51269172594556,NULL,NULL,1
2596,"2022-04-08 20:00:34.128+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","24468","27183",-1,"CF:B0:B3:F2:2F:9B","Gleise172",1275068949,NULL,-81,-93,-93.0,1.6490561594773632,NULL,NULL,1
2597,"2022-04-08 20:00:41.736+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-97,-97.0,87.97698915254922,NULL,NULL,1
2598,"2022-04-08 20:00:43.759+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"2B:C8:CF:26:05:76",NULL,1275068949,NULL,-45,-90,-95.5,79.00517585716199,NULL,NULL,1
2599,"2022-04-08 20:00:45.276+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"2B:C8:CF:26:05:76",NULL,1275068949,NULL,-45,-96,-95.57142857142857,79.41376943068953,NULL,NULL,1
2600,"2022-04-08 20:00:45.788+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-102,-96.33333333333333,83.88672411801294,NULL,NULL,1
2601,"2022-04-08 20:00:46.305+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"2B:C8:CF:26:05:76",NULL,1275068949,NULL,-45,-100,-96.71428571428571,86.20345874585705,NULL,NULL,1
2602,"2022-04-08 20:00:49.384+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","24468","27183",-1,"CF:B0:B3:F2:2F:9B","Gleise172",1275068949,NULL,-81,-89,-91.0,1.4949712034286473,NULL,NULL,1
2603,"2022-04-08 20:00:50.914+00","2686f39c-bada-4658-854a-a62e7e5e8b8d","1","0",-1,"22:C5:D0:6D:7B:63",NULL,1275068949,NULL,-45,-100,-97.5,91.15636411193414,NULL,NULL,1
2604,"2022-04-08 20:00:51.436+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","16099","4049",-1,"F8:9F:BC:A6:81:A9","Gleise60",1275068949,NULL,-81,-80,-80.0,0.8831809261539671,NULL,NULL,1
2605,"2022-04-08 20:00:53.985+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","7709","63638",-1,"E4:00:9C:7A:5D:BC","Haupthalle74",1275068949,NULL,-72,-92,-92.0,2.861021058148136,NULL,NULL,1
2606,"2022-04-08 20:00:56.536+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","15870","33874",-1,"E9:21:5D:C7:15:94","Gleise59",1275068949,NULL,-81,-82,-82.0,1.0083072011759482,NULL,NULL,1
2607,"2022-04-08 20:00:56.536+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","3",-1,"C2:8F:CC:9C:BC:2D",NULL,1275068949,NULL,-77,-100,-100.0,3.1371016194358265,NULL,NULL,1
2608,"2022-04-08 20:00:58.066+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","15870","33874",-1,"E9:21:5D:C7:15:94","Gleise59",1275068949,NULL,-81,-90,-86.0,1.1880964914926087,NULL,NULL,1
2609,"2022-04-08 20:00:59.087+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","15870","33874",-1,"E9:21:5D:C7:15:94","Gleise59",1275068949,NULL,-81,-80,-82.0,1.0083072011759482,NULL,NULL,1
2610,"2022-04-08 20:01:00.112+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","15870","33874",-1,"E9:21:5D:C7:15:94","Gleise59",1275068949,NULL,-81,-81,-81.5,0.9892369549159974,NULL,NULL,1
2611,"2022-04-08 20:01:01.638+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","15874","3",-1,"D6:47:35:2F:6D:C5",NULL,1275068949,NULL,-77,-102,-102.0,3.518696273536574,NULL,NULL,1
2612,"2022-04-08 20:01:08.223+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","5",-1,"E8:8B:B2:2E:D3:C5",NULL,1275068949,NULL,-77,-99,-99.0,2.9626126163459574,NULL,NULL,1
2613,"2022-04-08 20:01:09.739+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","2",-1,"F4:56:77:3E:02:D8",NULL,1275068949,NULL,-77,-97,-97.0,2.6436574351928837,NULL,NULL,1
2614,"2022-04-08 20:01:10.249+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","13443","41122",-1,"C0:0A:4B:A5:76:14","Gleise33",1275068949,NULL,-81,-98,-98.0,2.1313925044978546,NULL,NULL,1
2615,"2022-04-08 20:01:11.265+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","3",-1,"C2:8F:CC:9C:BC:2D",NULL,1275068949,NULL,-77,-101,-100.5,3.2283225377347495,NULL,NULL,1
2616,"2022-04-08 20:01:12.779+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","2",-1,"F4:56:77:3E:02:D8",NULL,1275068949,NULL,-77,-95,-96.0,2.4982141917239513,NULL,NULL,1
2617,"2022-04-08 20:01:12.779+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","15525","16396",-1,"C7:59:B7:55:55:E6","Gleise55",1275068949,NULL,-81,-97,-97.0,2.0226212762272997,NULL,NULL,1
2618,"2022-04-08 20:01:12.779+00","f7826da6-4fa2-4e98-8024-bc5b71e0893e","15450","55957",-1,"C7:72:C6:33:D4:A2","Gleise53",1275068949,NULL,-81,-93,-93.0,1.6490561594773632,NULL,NULL,1
2619,"2022-04-08 20:01:12.779+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","5",-1,"E8:8B:B2:2E:D3:C5",NULL,1275068949,NULL,-77,-94,-96.5,2.569815396171042,NULL,NULL,1
2620,"2022-04-08 20:01:13.297+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","4",-1,"FE:2B:93:3F:62:87",NULL,1275068949,NULL,-77,-90,-90.0,1.7942116184337868,NULL,NULL,1
2621,"2022-04-08 20:01:13.297+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","5",-1,"E8:8B:B2:2E:D3:C5",NULL,1275068949,NULL,-77,-92,-94.0,2.233097793619956,NULL,NULL,1
2622,"2022-04-08 20:01:13.813+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","4",-1,"FE:2B:93:3F:62:87",NULL,1275068949,NULL,-77,-86,-88.0,1.6143441763841142,NULL,NULL,1
2623,"2022-04-08 20:01:14.838+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","5",-1,"E8:8B:B2:2E:D3:C5",NULL,1275068949,NULL,-77,-93,-93.5,2.171870757360572,NULL,NULL,1
2624,"2022-04-08 20:01:15.351+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","5",-1,"E8:8B:B2:2E:D3:C5",NULL,1275068949,NULL,-77,-83,-93.0,2.1125604082213227,NULL,NULL,1
2625,"2022-04-08 20:01:16.372+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","1",-1,"FB:89:67:FA:AC:0D",NULL,1275068949,NULL,-77,-92,-92.0,1.9994901136447676,NULL,NULL,1
2626,"2022-04-08 20:01:16.887+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","2",-1,"F4:56:77:3E:02:D8",NULL,1275068949,NULL,-77,-91,-95.0,2.3615080083441047,NULL,NULL,1
2627,"2022-04-08 20:01:17.4+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","4",-1,"FE:2B:93:3F:62:87",NULL,1275068949,NULL,-77,-94,-90.0,1.7942116184337868,NULL,NULL,1
2628,"2022-04-08 20:01:17.4+00","aea3e301-4bbc-4ecf-ad17-2573922a5f4f","17294","5",-1,"E8:8B:B2:2E:D3:C5",NULL,1275068949,NULL,-77,-91,-92.5,2.0551165683585975,NULL,NULL,1
