MAJOR;MINOR;Name;geopos;register_source;UID;Geoposition;floor
31388;7619;Kontakt-SBB 31388.7619;(47.3778227840909|8.53792444318182|0);CALIBMAP[IOS];31388.7619;47.3778227841,8.53792444318;0
31266;41243;Kontakt-SBB 31266.41243;(47.378126631068|8.53800909708738|0);CALIBMAP[IOS];31266.41243;47.3781266311,8.53800909709;0
30957;9503;Kontakt-SBB 30957.9503;(47.3781719223301|8.53783875728155|0);CALIBMAP[IOS];30957.9503;47.3781719223,8.53783875728;0
30946;46148;Kontakt-SBB 30946.46148;(47.377867|8.53835245991561|0);CALIBMAP[IOS];30946.46148;47.377867,8.53835245992;0
30714;47676;Kontakt-SBB 30714.47676;(47.3781221019417|8.53802613106796|0);CALIBMAP[IOS];30714.47676;47.3781221019,8.53802613107;0
30679;36584;Kontakt-SBB 30679.36584;(47.3782036262136|8.53771951941748|0);CALIBMAP[IOS];30679.36584;47.3782036262,8.53771951942;0
30289;38714;Kontakt-SBB 30289.38714;(47.377799|8.5386037299578|0);CALIBMAP[IOS];30289.38714;47.377799,8.53860372996;0
30135;34329;Kontakt-SBB 30135.34329;(47.3782217443182|8.53640405113636|0);CALIBMAP[IOS];30135.34329;47.3782217443,8.53640405114;0
29949;23878;Kontakt-SBB 29949.23878;(47.37765615625|8.53927025|0);CALIBMAP[IOS];29949.23878;47.3776561562,8.53927025;0
29001;17139;Kontakt-SBB 29001.17139;(47.377767|8.53872197468355|0);CALIBMAP[IOS];29001.17139;47.377767,8.53872197468;0
26532;63;Kontakt-SBB 26532.63;(47.3785455736041|8.53707228426396|0);CALIBMAP[IOS];26532.63;47.3785455736,8.53707228426;0
25827;14576;Kontakt-SBB 25827.14576;(47.3787293317972|8.53943187096774|0);CALIBMAP[IOS];25827.14576;47.3787293318,8.53943187097;0
25758;33733;Kontakt-SBB 25758.33733;(47.3789762442396|8.53851251612903|0);CALIBMAP[IOS];25758.33733;47.3789762442,8.53851251613;0
25494;46234;Kontakt-SBB 25494.46234;(47.379075875576|8.5381415483871|0);CALIBMAP[IOS];25494.46234;47.3790758756,8.53814154839;0
25135;50151;Kontakt-SBB 25135.50151;(47.3790408673835|8.53770130824373|0);CALIBMAP[IOS];25135.50151;47.3790408674,8.53770130824;0
24687;32423;Kontakt-SBB 24687.32423;(47.3789693620072|8.53796399641577|0);CALIBMAP[IOS];24687.32423;47.378969362,8.53796399642;0
24468;27183;Kontakt-SBB 24468.27183;(47.3781218125|8.5397234375|0);CALIBMAP[IOS];24468.27183;47.3781218125,8.5397234375;0
24232;31509;Kontakt-SBB 24232.31509;(47.37784634375|8.53903796875|0);CALIBMAP[IOS];24232.31509;47.3778463438,8.53903796875;0
23911;1411;Kontakt-SBB 23911.1411;(47.37808946875|8.53982890625|0);CALIBMAP[IOS];23911.1411;47.3780894687,8.53982890625;0
23862;58848;Kontakt-SBB 23862.58848;(47.3778582110092|8.5397268440367|0);CALIBMAP[IOS];23862.58848;47.377858211,8.53972684404;0
23725;47082;Kontakt-SBB 23725.47082;(47.3779254583333|8.53908529166667|0);CALIBMAP[IOS];23725.47082;47.3779254583,8.53908529167;0
